;Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
0;ESCOLA PARALISADA;CE REVERENDO MARTIN LUTHER KING;33062226;RJ;Rio de Janeiro;Urbana;Não Informado;Pública;RUA JOAQUIM PALHARES, 648 ESTACIO. 20260-080 Rio de Janeiro - RJ.;(21) 23337888;Estadual;Não Informado;Não;;;;;-22.9116;-43.2116
1;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL PONTO DE PARTIDA;33062234;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA DOUTOR AGENOR ALMEIDA DE LOYOLA, 1284 BANCARIOS. 21911-310 Rio de Janeiro - RJ.;(21) 38073581;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.788079999999997;-43.1769
2;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE ALDEBARA;33062250;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA ANTARES, 0 CONJUNTO ANTARES. SANTA CRUZ. 23590-360 Rio de Janeiro - RJ.;(21) 23334235;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;;-22.922473;-43.655696500000005
3;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE CUBA;33062277;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PRAIA DO ZUMBI, 25 ZUMBI. 21930-155 Rio de Janeiro - RJ.;(21) 23346465;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-22.8216188;-43.1738366
4;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE CHARLES DICKENS;33062293;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PRIMEIRA CRUZ, 0 S/Nº. CAMPO GRANDE. 23085-710 Rio de Janeiro - RJ.;(21) 23336915;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação de Jovens Adultos;;-22.8941055;-43.5578313
5;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CAIC JOAQUIM JOSE DA SILVA XAVIER O TIRADENTES;33062340;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA RIVADAVIA CORREIA, 190 GAMBOA. 20220-290 Rio de Janeiro - RJ.;(21) 23345140;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-22.898155199999998;-43.1960995
6;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101501 CIEP HENFIL;33062358;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CARLOS SEIDL, S/N CAJU. 20931-003 Rio de Janeiro - RJ.;(21) 38958627;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado;-22.8812382;-43.225063899999995
7;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE REVERENDO HUGH CLARENCE TUCKER;33062374;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA RIVADAVIA CORREIA, 188 GAMBOA. 20220-290 Rio de Janeiro - RJ.;(21) 23345803;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-22.898247899999998;-43.1961066
8;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101803 EDI ANTONIO RAPOSO TAVARES;33062412;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO PROPOSITO, 73 GAMBOA. 20220-530 Rio de Janeiro - RJ.;(21) 22535876;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.8957633;-43.1943533
9;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101004 ESCOLA MUNICIPAL BENJAMIM CONSTANT;33062420;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PCA MAL HERMES, S/Nº SANTO CRISTO. 20220-430 Rio de Janeiro - RJ.;(21) 22633188;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.9;-43.2055
10;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101003 ESCOLA MUNICIPAL DARCY VARGAS;33062439;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SOUZA E SILVA, 112 SAUDE. 20220-560 Rio de Janeiro - RJ.;(21) 992884065;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.896;-43.1892
11;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101006 ESCOLA MUNICIPAL FRANCISCO BENJAMIM GALLOTI;33062447;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DA AMERICA, 81 VILA PORTUARIA. SANTO CRISTO. 20220-010 Rio de Janeiro - RJ.;(21) 993006282;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.9008351406083;-43.1983092427254
12;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101005 ESCOLA MUNICIPAL GENERAL MITRE;33062455;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;FARNESE, 39 SANTO CRISTO. 20220-640 Rio de Janeiro - RJ.;(21) 22635478;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.9053171;-43.2031071
13;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101008 ESCOLA MUNICIPAL MARECHAL ESPERIDIAO ROSAS;33062463;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DUQUE DE CAXIAS, 5 CAJU. 20931-590 Rio de Janeiro - RJ.;(21) 38958578;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-22.8801047662273;-43.21855086833239
14;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101007 ESCOLA MUNICIPAL MARECHAL MASCARENHAS DE MORAES 0101007;33062471;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CARLOS SEIDL, 20 CAJU. 20931-003 Rio de Janeiro - RJ.;(21) 38958622;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.8770400071517;-43.216379787772894
15;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101804 EDI PROFESSORA LAURA SYLVIA MENDES PEREIRA;33062480;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA GAL SAMPAIO, 71 CAJU. 20931-350 Rio de Janeiro - RJ.;(21) 38958625;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-22.8779639;-43.216286600000004
16;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101009 ESCOLA MUNICIPAL PROFESSOR WALTER CARLOS DE MAGALHAES FRAENKEL;33062498;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CARLOS SEIDL, 1141 CAJU. 20931-004 Rio de Janeiro - RJ.;(21) 38781610;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-22.878534081392;-43.2232016511261
17;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0101001 ESCOLA MUNICIPAL VICENTE LICINIO CARDOSO;33062501;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA EDGARD GORDILHO, 63 PRACA MAUA. 20081-070 Rio de Janeiro - RJ.;(21) 22637200;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.897080499999998;-43.1836674
18;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA PADRE DOUTOR FRANCISCO DA MOTTA;33062510;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;BECO JOAO JOSE, 14/16 SAUDE. 20081-150 Rio de Janeiro - RJ.;(21) 31291800;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.89806;-43.184020000000004
19;ESCOLA PARALISADA;ESC TEC DO ARSENAL DE MARINHA DO RJ;33062528;RJ;Rio de Janeiro;Urbana;Não Informado;Pública;PRACA BARAO DE LADARIO, S/Nº ILHA DAS COBRAS ED35. CENTRO. 20091-000 Rio de Janeiro - RJ.;(21) 21785932;Federal;Não Informado;Não;;;;;-22.89837;-43.17662
20;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO METODISTA DE ACAO SOCIAL;33062536;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA RIVADAVIA CORREIA, 188 GAMBOA. 20220-290 Rio de Janeiro - RJ.;(21) 22230794;Privada;Filantrópica;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-22.89826;-43.19567
21;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102503 CIEP AVENIDA DOS DESFILES II;33062544;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA SALVADOR DE SA, S/N CIDADE NOVA. 20211-260 Rio de Janeiro - RJ.;(21) 22939546;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-22.9131645;-43.1959366
22;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102502 CIEP AVENIDA DOS DESFILES I;33062552;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AV SALVADOR DE SA, S/N. SETOR 13. CIDADE NOVA. 20211-070 Rio de Janeiro - RJ.;(21) 22939596;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-22.913527399999996;-43.196039299999995
23;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102505 CIEP JOSE PEDRO VARELA;33062587;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO LAVRADIO, 133 CENTRO. 20230-070 Rio de Janeiro - RJ.;(21) 22621075;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;;-22.911294100000003;-43.182165399999995
24;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO CRUZEIRO-CENTRO;33062609;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CARLOS DE CARVALHO, 76 CENTRO. 20230-180 Rio de Janeiro - RJ.;(21) 32215000;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.9113898845389;-43.1895877886564
25;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL DE SAO BENTO;33062633;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DOM GERARDO, 68 CENTRO. 20090-030 Rio de Janeiro - RJ.;(21) 22068254;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-22.8978;-43.17965
26;ESCOLA PARALISADA;CE CELESTINO DA SILVA;33062650;RJ;Rio de Janeiro;Rural;Não Informado;Pública;RUA DO LAVRADIO, CENTRO. 20230-070 Rio de Janeiro - RJ.;;Estadual;Não Informado;Não;;;;;-22.9102461;-43.1829993
27;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE JULIA KUBITSCHEK;33062668;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA GENERAL CALDWELL, 182 CENTRO. 20230-192 Rio de Janeiro - RJ.;(21) 23326921;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Médio, Educação Profissional, Educação de Jovens Adultos;;-22.9075;-43.1926
28;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE SOUZA AGUIAR;33062676;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOS INVALIDOS, 121 CENTRO. 20231-045 Rio de Janeiro - RJ.;(21) 23326920;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio;;-22.9118;-43.184740000000005
29;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CPII - CAMPUS CENTRO;33062706;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA MARECHAL FLORIANO, 80 CENTRO. 20080-001 Rio de Janeiro - RJ.;(21) 32133101;Federal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-22.90184;-43.18437
30;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102504 CIEP AVENIDA DOS DESFILES 0102504;33062714;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AV SALVADOR DE SA, S/Nº SETOR 12. CIDADE NOVA. 20211-260 Rio de Janeiro - RJ.;(21) 22135912;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado;-22.913559399999997;-43.1969005
31;ESCOLA PARALISADA;EEEE PROFESSORA MARIA IVETE CORREA DE VASCONCELOS;33062722;RJ;Rio de Janeiro;Urbana;Não Informado;Pública;RUA MARIZ E BARROS, PRACA DA BANDEIRA. 20270-003 Rio de Janeiro - RJ.;(21) 23342501;Estadual;Não Informado;Não;;;;;-22.9117923;-43.2147341
32;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102501 ESCOLA MUNICIPAL TIA CIATA;33062757;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AV PRESIDENTE VARGAS, S/N CENTRO. 20071-003 Rio de Janeiro - RJ.;(21) 22247649;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.907087100000002;-43.195019099999996
33;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102005 ESCOLA MUNICIPAL CALOUSTE GULBENKIAN;33062765;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PROF CLEMENTINO FRAGA, S/N CENTRO. 20230-250 Rio de Janeiro - RJ.;(21) 22244054;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;;-22.90943;-43.1962
34;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102001 ESCOLA MUNICIPAL CELESTINO DA SILVA;33062773;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO LAVRADIO, 56 CENTRO. 20230-070 Rio de Janeiro - RJ.;(21) 22242688;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.9093171;-43.1835511
35;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102802 EDI CAMPOS SALLES;33062781;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PRACA DA REPUBLICA, SN CENTRO. 20211-350 Rio de Janeiro - RJ.;(21) 22247576;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.908386899999996;-43.1863635
36;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102004 ESCOLA MUNICIPAL RIVADAVIA CORREA;33062790;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AV PRESIDENTE VARGAS, 1314 CENTRO. 20210-031 Rio de Janeiro - RJ.;(21) 22538064;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.903951867504897;-43.188007213215506
37;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102002 ESCOLA MUNICIPAL TIRADENTES;33062803;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;R VISCONDE DO RIO BRANCO, 48 CENTRO. 20060-080 Rio de Janeiro - RJ.;(21) 22247521;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-22.9079316666667;-43.185346666666696
38;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LICEU DE ARTES E OFICIOS;33062854;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA FREDERICO SILVA, 86 CENTRO. 20230-210 Rio de Janeiro - RJ.;(21) 22777600;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.90656;-43.192609999999995
39;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEJA CASA DO MARINHEIRO;33062862;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA BRASIL, 10592 PENHA. 21012-350 Rio de Janeiro - RJ.;(21) 23347931;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação de Jovens Adultos;;-22.8300294;-43.2689107
40;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEJA COPACABANA;33062889;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BELFORT ROXO, 433 COPACABANA. 22020-010 Rio de Janeiro - RJ.;(21) 23347330;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação de Jovens Adultos;;-22.9620972;-43.1775904
41;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE PAULO DE FRONTIN;33062919;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BARAO DE UBA, 399 PRACA DA BANDEIRA. 20260-050 Rio de Janeiro - RJ.;(21) 23337880;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;;-22.916180800000003;-43.2109207
42;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE TOMAS ANTONIO GONZAGA;33062927;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ITAPIRU, 453 CATUMBI. 20251-031 Rio de Janeiro - RJ.;(21) 23337900;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;;-22.9214208;-43.1966219
43;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL SAGRES;33062951;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA SAMPAIO VIANA, 184 RIO COMPRIDO. 20261-040 Rio de Janeiro - RJ.;(21) 22932097;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.92285;-43.21112
44;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EDUCANDARIO NOSSA SENHORA DE NAZARE;33062978;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DOUTOR AGRA, 115 CATUMBI. 20251-080 Rio de Janeiro - RJ.;(21) 25021512;Privada;Filantrópica;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.919929999999997;-43.19547
45;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE MARIO QUINTANA;33063044;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;ESTRADA GENERAL EMILIO MAUREL FILHO, 0 BANGU. 21854-010 Rio de Janeiro - RJ.;(21) 33995733;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação de Jovens Adultos;;-22.8413666;-43.4836479
46;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE MEM DE SA;33063052;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CAMPOS DA PAZ, 218 RIO COMPRIDO. 20250-460 Rio de Janeiro - RJ.;(21) 23337883;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-22.9240527;-43.204446999999995
47;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CE RUBEM BRAGA;33063060;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA GENERAL EMILIO MOUREL FILHO, 900 S/N. BANGU. 21854-010 Rio de Janeiro - RJ.;;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;-22.8414405;-43.4837379
48;ESCOLA PARALISADA;EEES PEREIRA PASSOS;33063079;RJ;Rio de Janeiro;Urbana;Não Informado;Pública;PRACA CONDESSA PAULO DE FRONTIM, RIO COMPRIDO. 20261-190 Rio de Janeiro - RJ.;;Estadual;Não Informado;Não;;;;;-22.9244639;-43.2092982
49;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0208001 ESCOLA MUNICIPAL AZEVEDO SODRE;33063095;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BARAO DE UBA, 331 PRACA DA BANDEIRA. 20260-050 Rio de Janeiro - RJ.;(21) 22732794;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.915515600000003;-43.2111174
50;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103502 ESCOLA MUNICIPAL CANADA;33063109;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SAO CARLOS, 181 ESTACIO. 20250-052 Rio de Janeiro - RJ.;(21) 22731599;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.91557158;-43.20434814
51;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103806 EDI FUNDACAO LEAO XIII;33063117;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LAURINDO RABELO, 554 ESTACIO. 20250-150 Rio de Janeiro - RJ.;(21) 992964363;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.92004;-43.20391
52;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103501 ESCOLA MUNICIPAL DO CATUMBI;33063125;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOM PEDRO MASCARENHAS, 23 CATUMBI. 20251-610 Rio de Janeiro - RJ.;(21) 22135611;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-22.9158847;-43.194682
53;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103001 ESCOLA MUNICIPAL ESTADOS UNIDOS;33063133;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ITAPIRU, 453 CATUMBI. 20251-031 Rio de Janeiro - RJ.;(21) 22135658;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-22.9214157;-43.1967165
54;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0102006 ESCOLA MUNICIPAL GUATEMALA;33063141;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PRACA PRES AGUIRRE CERDA, 55 BAIRRO DE FATIMA. 20240-200 Rio de Janeiro - RJ.;(21) 22247687;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.9181171;-43.1882
55;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103006 ESCOLA MUNICIPAL JENNY GOMES;33063150;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AV PAULO DE FRONTIN, 452 RIO COMPRIDO. 20261-242 Rio de Janeiro - RJ.;(21) 22735299;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-22.92313673;-43.21020635
56;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103005 ESCOLA MUNICIPAL MARIO CLAUDIO;33063168;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA HADDOCK LOBO, 148 RIO COMPRIDO. 20260-002 Rio de Janeiro - RJ.;(21) 22932996;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-22.9171881;-43.211112
57;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103003 ESCOLA MUNICIPAL MEM DE SA;33063176;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CAMPOS DA PAZ, 218 RIO COMPRIDO. 20250-460 Rio de Janeiro - RJ.;(21) 22934141;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.924132999999998;-43.204314000000004
58;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0103004 ESCOLA MUNICIPAL PEREIRA PASSOS;33063184;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;PCA CONDESSA PAULO DE FRONTIN, 45 RIO COMPRIDO. 20261-190 Rio de Janeiro - RJ.;(21) 22735599;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;;-22.9244;-43.2086
